# from	to (tab-separated, longest match first in file; script re-sorts by length)
从五六年到六六年	从1956年到1966年
从五六年到六九年那十三年	从1956年到1969年那十三年
从五六年到六九年	从1956年到1969年
五六年到六九年那十三年	1956年到1969年那十三年
五六年到六九年	1956年到1969年
巴老在五六年到六九年	巴老在1956年到1969年
而巴老在五六年到六九年	而巴老在1956年到1969年
八老在五六年到六九年	巴老在1956年到1969年
他从五六年到六九年	他从1956年到1969年
好好读读他那个五六年到六九年	好好读读他那个1956年到1969年
我前便说那个实质上它是5%到20%	我前面说那个实质上它是5%到20%
青出于懒而胜于懒	青出于蓝而胜于蓝
清出于懒而胜于懒	青出于蓝而胜于蓝
像巴朗那样配置	像巴老那样配置
金庸令金树	金融炼金术
金庸这个行业	金融行业
金庸模型	金融模型
金庸的理解	金融的理解
对金庸的理解	对金融的理解
金庸这个行业，你有的时候	金融行业，你有的时候
归拿法	归纳法
归拿的法则	归纳的法则
相信归拿法	相信归纳法
你要相信归拿法	你要相信归纳法
折磨标了	折磨惨了
上城进主	上层建筑
经济基础上城	经济基础上层
制合伙人	致合伙人
凯信图	K线图
凯信土	K线图
凯新图	K线图
开信图	K线图
土哎，都是月薪	图，都是月线
血球	雪球
稀里苦快	稀奇古怪
金金勇战	金融战争
三一个村	算一个村
三一个村儿	算一个村儿
六亲100来点	六千一百来点
古友	股友
谷友	股友
老古友	老股友
孤新孤友	新股友
新孤友	新股友
小孤友	小股友
新故友	新股友
孤友	股友
财政赤字货笔画	财政赤字货币化
财政赤字或笔画	财政赤字货币化
财政赤资货币化	财政赤字货币化
财政赤资	财政赤字
货笔画	货币化
印知	认知
浅层印知	浅层认知
深层印知	深层认知
印准	认准
慢扭	慢牛
曼扭	慢牛
曼尔兄	麦兄
迈尔兄	麦兄
麦尔兄	麦兄
招生银行	招商银行
交教行	交行
教教行	交行
孙衍企业	所以企业
孙衍股价	洋河股价
投到现在孙岩股价	投到现在洋河股价
希格尔教授	西格尔教授
西盖尔教授	西格尔教授
西格尔常书	西格尔常数
希格尔常数	西格尔常数
大为	大V
塞斯卡拉曼	塞思卡拉曼
返礼	范蠡
逃除宫返礼	陶朱公范蠡
财神爷返礼	财神爷范蠡
陶朱公，我们组他	陶朱公，我们祖宗他
赌一赌，再要是能	读一读，再要是能
赌一赌。货币类	读一读。货币类
没事儿的赌一赌	没事儿的读一读
没事儿赌一赌	没事儿读一读
赌八老	读巴老
赌他的信	读他的信
你光赌信	你光读信
潜于思考	勤于思考
潜于学习	勤于学习
潜欲操作	勤于操作
勤勤劳使	勤劳使
勤勤劳惰	勤惰
闭門造车	闭门造车
资韵	滋养
滚塌	滚雪球
一言自得	怡然自得
分红在头	分红再投
来口了	进来了
来口。	进来。
偷他的时候	投他的时候
审审视	审视
碳淡	扯淡
硬可阳做一般等价	硬通货做一般等价
采学院冶炼	采选冶炼
成思好的琴	成色好的钱
硅金属	贵金属
龟金属	贵金属
卖基模式	卖鸡模式
麦阳机场	卖养鸡场
小巴西	小把戏
胆线儿，是人	单线，是人
月薪心理论	月线理论
月薪低位	月线低位
月薪高位	月线高位
月薪右上角	月线右上角
月薪右下角	月线右下角
月薪左上	月线左上
月薪又上缴	月线又上行
月薪又上吊	月线又上行
月信你要是看	月线你要是看
月信别很难做	月线别很难做
开心月性刚露头	月线刚露头
开心月线刚露头	月线刚露头
一根开心	一根K线
月性破位	月线破位
军信理论	均线理论
军信代表	均线代表
古稀也不错。	股息也不错。
古稀呀，都是	股息呀，都是
估笔率	股息率
故说	估值
古诗里混了	股市里混了
古诗，这个地方	股市，这个地方
北冥买股票	本钱买股票
金庸伟	证监会
金庸和市场	金融和市场
实境率	市净率
实境率也低	市净率也低
三比一高	三低一高
三母投资	攒股投资
三顾	攒股
斩骨	攒股
冷言是斩骨的	轮动是攒股的
富丽	复利
福利前行	复利前行
福利的钱	复利的钱
福利它本质上	复利它本质上
负力正负力前行	复利前行
估息率	股息率
长和不长	涨和不涨
长就长，不长	涨就涨，不跌
DN三五年	跌三五年
拼蛋婶儿	片段式
十年磨一晋	十年磨一剑
京剧都都跑	经验都都跑
归拿	归纳
陶朱公返礼	陶朱公范蠡
青金就是金子上	黄金就是金子上
庆节，散见庆洁福来	千金，散尽千金还复来
十九年三次庆节	十九年三次致千金
散金亲肩扶来	散尽千金还复来
散见庆洁福来	散尽千金还复来
膝下打那那	鏖战那那
港骨	港股
港骨还有点种树	港股还有点仓位
验试	认识
验识	认识
影前儿	眼前儿
打肚子的电脑	大肚子的电脑
祖死爷	祖师爷
格雷姆纽曼	格雷厄姆—纽曼
二六年到五六年	1926年到1956年
从二六年到五六年	从1926年到1956年
从二六年，你想想到五六年	从1926年，你想想到1956年
祖死爷五五五年	祖师爷1955年
五五五年，五六年退休	1955年、1956年退休
